Year,Species,FileID,CardID,FishID,Sex,Age,ErrorCode,Length,Weight,SampleDate,District,Subdistrict,Stream,Location,Project,Gear,Mesh,NumberofScales,SampleComment,MeasurementType,ImageName,ImageSaved,UserID,DateScanned,DigitizedUserID,DigitizedDate,Comment,ASLComment
1965,420,65COMWO023,023,06,2,13,0,527,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513F023,Y,,,JEBAKER,14-Dec-17,,
1965,420,65COMWO023,023,07,2,13,0,544,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513F024,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO023,023,09,2,13,0,542,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513F025,Y,,,JEBAKER,23-Apr-18,,
1965,420,65COMWO023,023,12,1,13,0,557,,08-Jul-65,325,30,300,101,03,02,,17,,02,,N,,,,,,
1965,420,65COMWO023,023,13,1,13,0,572,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513M023,Y,,,JEBAKER,14-Dec-17,,
1965,420,65COMWO023,023,14,2,13,0,540,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513F026,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO023,023,15,1,12,0,514,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6512M004,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO023,023,17,1,12,0,511,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6512M005,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO023,023,19,2,23,0,582,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6523F011,Y,,,JEBAKER,23-Apr-18,,
1965,420,65COMWO023,023,21,2,23,0,536,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6523F012,Y,,,JEBAKER,23-Apr-18,,
1965,420,65COMWO023,023,22,1,12,0,499,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6512M006,Y,,,,,,
1965,420,65COMWO023,023,23,2,23,0,546,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6523F013,Y,,,JEBAKER,07-Nov-18,,
1965,420,65COMWO023,023,24,2,13,0,560,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513F027,Y,,,JEBAKER,23-Apr-18,,
1965,420,65COMWO023,023,25,2,13,0,567,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513F028,Y,,,,,,
1965,420,65COMWO023,023,28,2,13,0,539,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513F029,Y,,,,,,
1965,420,65COMWO023,023,30,1,12,0,492,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6512M007,Y,,,,,,
1965,420,65COMWO024,024,01,2,13,0,539,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6513F030,Y,,,,,,
1965,420,65COMWO024,024,02,2,13,0,549,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6513F031,Y,,,,,,
1965,420,65COMWO024,024,04,2,13,0,527,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6513F032,Y,,,,,,
1965,420,65COMWO024,024,07,2,13,0,548,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6513F033,Y,,,,,,
1965,420,65COMWO024,024,13,1,12,0,503,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6512M008,Y,,,,,,
1965,420,65COMWO024,024,15,2,22,0,474,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6522F014,Y,,,JEBAKER,07-Nov-18,,
1965,420,65COMWO024,024,16,1,12,0,498,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6512M009,Y,,,JEBAKER,06-Nov-18,,
1965,420,65COMWO024,024,18,2,13,0,510,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6513F034,Y,,,,,,
1965,420,65COMWO024,024,22,2,22,0,476,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6522F015,Y,,,WWHELAN,04-Aug-03,,
1965,420,65COMWO024,024,24,2,22,0,506,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6522F016,Y,,,JEBAKER,15-Oct-18,,
1965,420,65COMWO024,024,30,1,13,0,559,,08-Jul-65,325,30,300,101,03,02,,11,,02,WO6513M024,Y,,,JEBAKER,12-Dec-17,,
1965,420,65COMWO025,025,10,2,12,0,482,,08-Jul-65,325,30,300,101,03,02,,6,,02,WO6512F021,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO025,025,18,1,22,0,594,,08-Jul-65,325,30,300,101,03,02,,6,,02,WO6522M011,Y,,,,,,
1965,420,65COMWO025,025,22,2,23,0,548,,08-Jul-65,325,30,300,101,03,02,,6,,02,WO6523F014,Y,,,,,,
1965,420,65COMWO025,025,27,1,12,0,504,,08-Jul-65,325,30,300,101,03,02,,6,,02,WO6512M010,Y,,,,,,
1965,420,65COMWO025,025,28,2,12,0,488,,08-Jul-65,325,30,300,101,03,02,,6,,02,WO6512F022,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO025,025,29,1,12,0,485,,08-Jul-65,325,30,300,101,03,02,,6,,02,WO6512M011,Y,,,JEBAKER,23-Apr-18,,
1965,420,65COMWO026,026,04,2,22,0,480,,08-Jul-65,325,30,300,101,03,02,,3,,02,WO6522F017,Y,,,JEBAKER,15-Dec-17,,
1965,420,65COMWO026,026,26,2,22,0,482,,08-Jul-65,325,30,300,101,03,02,,3,,02,WO6522F018,Y,,,JEBAKER,23-Feb-18,,
1965,420,65COMWO026,026,28,2,22,0,547,,08-Jul-65,325,30,300,101,03,02,,3,,02,WO6522F019,Y,,,,,,
1965,420,65COMWO027,027,03,1,13,0,572,,08-Jul-65,325,30,300,101,03,02,,2,,02,WO6513M025,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO027,027,04,1,13,0,544,,08-Jul-65,325,30,300,101,03,02,,2,,02,WO6513M026,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO028,028,09,2,12,0,490,,08-Jul-65,325,30,300,101,03,02,,2,,02,WO6512F023,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO028,028,11,2,12,0,490,,08-Jul-65,325,30,300,101,03,02,,2,,02,WO6512F024,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO029,029,17,2,22,0,551,,08-Jul-65,325,30,300,101,03,02,,2,,02,WO6522F020,Y,,,,,,
1965,420,65COMWO029,029,29,2,12,0,420,,08-Jul-65,325,30,300,101,03,02,,2,,02,,N,,,,,,
1965,420,65COMWO030,030,03,2,12,0,476,,08-Jul-65,325,30,300,101,03,02,,4,,02,WO6512F025,Y,,,JCLIVERMORE,07-Sep-12,,
1965,420,65COMWO030,030,22,2,12,0,463,,08-Jul-65,325,30,300,101,03,02,,4,,02,WO6512F026,Y,,,,,,
1965,420,65COMWO030,030,23,1,12,0,495,,08-Jul-65,325,30,300,101,03,02,,4,,02,WO6512M012,Y,,,,,,
1965,420,65COMWO030,030,27,1,13,0,522,,08-Jul-65,325,30,300,101,03,02,,4,,02,WO6513M027,Y,,,JEBAKER,12-Dec-17,,
1965,420,65COMWO031,031,03,1,23,0,568,,09-Jul-65,325,30,300,101,03,02,,5,,02,WO6523M004,Y,,,JEBAKER,12-Dec-17,,
1965,420,65COMWO031,031,10,1,12,0,533,,09-Jul-65,325,30,300,101,03,02,,5,,02,WO6512M013,Y,,,,,,
1965,420,65COMWO031,031,14,1,13,0,591,,09-Jul-65,325,30,300,101,03,02,,5,,02,WO6513M028,Y,,,JEBAKER,14-Dec-17,,
1965,420,65COMWO031,031,16,2,12,0,485,,09-Jul-65,325,30,300,101,03,02,,5,,02,WO6512F027,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO031,031,28,1,12,0,470,,09-Jul-65,325,30,300,101,03,02,,5,,02,,N,,,,,,
1965,420,65COMWO032,032,02,2,12,0,469,,09-Jul-65,325,30,300,101,03,02,,8,,02,WO6512F028,Y,,,JEBAKER,11-Dec-17,,
1965,420,65COMWO032,032,03,1,13,0,543,,09-Jul-65,325,30,300,101,03,02,,8,,02,WO6513M029,Y,,,JCLIVERMORE,26-Jun-12,,
