"","year","mo","data-type","region","extent","area"
"302",2006,7,"Goddard","N",8.46,5.79
"303",2007,7,"Goddard","N",7.94,5.13
"304",2008,7,"Goddard","N",8.68,6.06
"305",2009,7,"Goddard","N",8.47,6.12
"306",2010,7,"Goddard","N",8.07,5.57
"307",2011,7,"Goddard","N",7.72,5.4
"308",2012,7,"Goddard","N",7.67,5.09
"309",2013,7,"Goddard","N",8.13,5.81
"310",2014,7,"Goddard","N",8.11,5.96
"311",2015,7,"Goddard","N",8.38,5.66
"312",2016,7,"Goddard","N",7.94,5.37
"313",2017,7,"Goddard","N",7.94,5.65
"314",2018,7,"Goddard","N",8.27,5.76
"315",2019,7,"Goddard","N",7.59,5.13
"316",2020,7,"Goddard","N",7.29,5.07
"317",2021,7,"Goddard","N",7.65,5.53
"318",2022,7,"Goddard","N",8.29,5.89
"319",2023,7,"NRTSI-G","N",8.18,5.54
"320",1979,8,"Goddard","N",8.04,5.06
"321",1980,8,"Goddard","N",7.98,4.94
"322",1981,8,"Goddard","N",7.84,4.48
"323",1982,8,"Goddard","N",8.14,5
"324",1983,8,"Goddard","N",8.19,4.97
"325",1984,8,"Goddard","N",7.77,4.68
"326",1985,8,"Goddard","N",7.4,4.6
"327",1986,8,"Goddard","N",7.98,5.01
"328",1987,8,"Goddard","N",7.63,-9999
"329",1988,8,"Goddard","N",7.89,5.42
"330",1989,8,"Goddard","N",7.88,5.56
"331",1990,8,"Goddard","N",6.8,4.99
"332",1991,8,"Goddard","N",7.42,5.21
"333",1992,8,"Goddard","N",7.93,5.44
"334",1993,8,"Goddard","N",7.33,4.76
"335",1994,8,"Goddard","N",7.64,5.19
"336",1995,8,"Goddard","N",6.74,4.69
"337",1996,8,"Goddard","N",8.18,5.73
"338",1997,8,"Goddard","N",7.29,5.09
"339",1998,8,"Goddard","N",7.51,4.69
"340",1999,8,"Goddard","N",7.23,4.75
"341",2000,8,"Goddard","N",7.17,4.78
"342",2001,8,"Goddard","N",7.46,4.94
"343",2002,8,"Goddard","N",6.6,4.32
"344",2003,8,"Goddard","N",6.94,4.52
"345",2004,8,"Goddard","N",6.85,4.67
"346",2005,8,"Goddard","N",6.3,4.21
"347",2006,8,"Goddard","N",6.5,4.31
"348",2007,8,"Goddard","N",5.34,3.19
"349",2008,8,"Goddard","N",5.91,3.79
"350",2009,8,"Goddard","N",6.14,4.16
"351",2010,8,"Goddard","N",5.87,3.88
"352",2011,8,"Goddard","N",5.5,3.38
"353",2012,8,"Goddard","N",4.72,2.93
"354",2013,8,"Goddard","N",6.01,4.17
"355",2014,8,"Goddard","N",6.08,4.37
"356",2015,8,"Goddard","N",5.6,3.63
"357",2016,8,"Goddard","N",5.37,3.31
"358",2017,8,"Goddard","N",5.48,3.64
"359",2018,8,"Goddard","N",5.61,3.9
"360",2019,8,"Goddard","N",5.03,3.24
"361",2020,8,"Goddard","N",5.07,3.1
"362",2021,8,"Goddard","N",5.71,3.78
"363",2022,8,"Goddard","N",5.95,4.03
"364",2023,8,"NRTSI-G","N",5.57,3.52
"365",1979,9,"Goddard","N",7.05,4.58
"366",1980,9,"Goddard","N",7.67,4.87
"367",1981,9,"Goddard","N",7.14,4.44
"368",1982,9,"Goddard","N",7.3,4.43
"369",1983,9,"Goddard","N",7.39,4.7
"370",1984,9,"Goddard","N",6.81,4.11
"371",1985,9,"Goddard","N",6.7,4.23
"372",1986,9,"Goddard","N",7.41,4.72
"373",1987,9,"Goddard","N",7.28,5.64
"374",1988,9,"Goddard","N",7.37,5.36
"375",1989,9,"Goddard","N",7.01,4.86
"376",1990,9,"Goddard","N",6.14,4.55
"377",1991,9,"Goddard","N",6.47,4.51
"378",1992,9,"Goddard","N",7.47,5.43
"379",1993,9,"Goddard","N",6.4,4.58
"380",1994,9,"Goddard","N",7.14,5.13
"381",1995,9,"Goddard","N",6.08,4.43
"382",1996,9,"Goddard","N",7.58,5.62
"383",1997,9,"Goddard","N",6.69,4.89
"384",1998,9,"Goddard","N",6.54,4.3
"385",1999,9,"Goddard","N",6.12,4.29
"386",2000,9,"Goddard","N",6.25,4.35
"387",2001,9,"Goddard","N",6.73,4.59
"388",2002,9,"Goddard","N",5.83,4.03
"389",2003,9,"Goddard","N",6.12,4.05
"390",2004,9,"Goddard","N",5.98,4.39
"391",2005,9,"Goddard","N",5.5,4.07
"392",2006,9,"Goddard","N",5.86,4.01
"393",2007,9,"Goddard","N",4.27,2.82
"394",2008,9,"Goddard","N",4.69,3.26
"395",2009,9,"Goddard","N",5.26,3.76
"396",2010,9,"Goddard","N",4.87,3.34
"397",2011,9,"Goddard","N",4.56,3.21
"398",2012,9,"Goddard","N",3.57,2.41
"399",2013,9,"Goddard","N",5.21,3.78
"400",2014,9,"Goddard","N",5.22,3.74
"401",2015,9,"Goddard","N",4.62,3.42
"402",2016,9,"Goddard","N",4.53,2.91
"403",2017,9,"Goddard","N",4.82,3.35
"404",2018,9,"Goddard","N",4.79,3.35
"405",2019,9,"Goddard","N",4.36,3.17
"406",2020,9,"Goddard","N",4,2.83
"407",2021,9,"Goddard","N",4.95,3.47
"408",2022,9,"Goddard","N",4.9,3.47
"409",2023,9,"NRTSI-G","N",4.37,2.79
"410",1979,10,"Goddard","N",8.75,6.19
"411",1980,10,"Goddard","N",9.18,6.5
"412",1981,10,"Goddard","N",8.86,6.27
"413",1982,10,"Goddard","N",9.42,6.67
"414",1983,10,"Goddard","N",9.33,6.79
"415",1984,10,"Goddard","N",8.56,5.91
"416",1985,10,"Goddard","N",8.55,6.12
"417",1986,10,"Goddard","N",9.48,6.83
"418",1987,10,"Goddard","N",9.05,7.49
"419",1988,10,"Goddard","N",9.13,7.52
"420",1989,10,"Goddard","N",8.83,6.96
"421",1990,10,"Goddard","N",8.48,6.74
"422",1991,10,"Goddard","N",8.54,6.75
"423",1992,10,"Goddard","N",9.32,7.74
"424",1993,10,"Goddard","N",8.79,7.06
"425",1994,10,"Goddard","N",8.92,7.23
"426",1995,10,"Goddard","N",7.83,5.99
"427",1996,10,"Goddard","N",9.16,7.54
"428",1997,10,"Goddard","N",8.34,6.47
"429",1998,10,"Goddard","N",8.45,6.71
"430",1999,10,"Goddard","N",8.6,6.83
"431",2000,10,"Goddard","N",8.38,6.69
"432",2001,10,"Goddard","N",8.3,6.65
"433",2002,10,"Goddard","N",8.16,6.24
"434",2003,10,"Goddard","N",7.85,5.98
"435",2004,10,"Goddard","N",7.93,6.4
"436",2005,10,"Goddard","N",7.35,5.78
"437",2006,10,"Goddard","N",7.54,5.8
"438",2007,10,"Goddard","N",6.04,4.33
"439",2008,10,"Goddard","N",7.35,5.77
"440",2009,10,"Goddard","N",6.92,5.24
"441",2010,10,"Goddard","N",6.98,5.48
"442",2011,10,"Goddard","N",6.46,5.02
"443",2012,10,"Goddard","N",5.89,4.58
"444",2013,10,"Goddard","N",7.45,5.95
"445",2014,10,"Goddard","N",7.23,5.7
"446",2015,10,"Goddard","N",6.97,5.49
"447",2016,10,"Goddard","N",6.08,4.4
