Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
19,46770,11/09/23,GA2_STD_02,B7,STD,0.454,CO2,3,0,368.7,114.7,,,,,,,,,,,,,,,1.6,5039,124586,124.586,1.1,5358,132021,1.452,3.9,7146,0.531,177064,1.0596801,0.0119526,-2.691,-2.691,1.421222,0.0039833,-9.024,-9.024,0.0111517,-2.549,0.0019871,-9.028
19,46770,11/09/23,GA2_STD_02,B7,STD,0.454,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.6,5403,100235,100.235,4.2,5737,106503,1.172,8.1,7745,0.431,143753,1.0625393,0.0119849,0,0,1.4341641,0.0040196,0,0,0.0111802,0,0.0020052,0
20,46771,11/09/23,SAL_STD_02,B8,STD,0.399,N2,1,1,47.4,26.8,30.0,3433,63184,63.184,20.5,2262,41645,0.458,0.6591124,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
20,46771,11/09/23,SAL_STD_02,B8,STD,0.399,N2,2,0,214.9,96.1,33.1,2805,62292,62.292,22.2,1872,41529,0.457,0.6666869,0.0074409,11.492,11.492,0.0037205,11.492,,,,,,,,,,,,,,,,,,,,,,,,
20,46771,11/09/23,SAL_STD_02,B8,STD,0.399,CO2,3,0,370.6,119.5,,,,,,,,,,,,,,,1.5,4295,109695,109.695,1.0,4532,115438,1.27,3.8,6097,0.468,156077,1.0523603,0.0118702,-9.57,-9.57,1.4228317,0.0039878,-7.906,-7.906,0.0110688,-9.965,0.0019894,-7.892
20,46771,11/09/23,SAL_STD_02,B8,STD,0.399,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,5.5,5412,100359,100.359,5.2,5747,106635,1.173,9.5,7759,0.432,143933,1.0625286,0.0119849,0,0,1.4341702,0.0040196,0,0,0.0111802,0,0.0020052,0
21,46772,11/09/23,bgl_3m_01,B9,SAMPLE,0.45,N2,1,1,47.4,26.8,30.7,3426,63082,63.082,21.1,2258,41580,0.457,0.6591392,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
21,46772,11/09/23,bgl_3m_01,B9,SAMPLE,0.45,N2,2,0,214.6,99.5,33.7,3778,84456,84.456,22.7,2521,56308,0.619,0.6667145,0.0074409,11.493,11.493,0.0037205,11.493,,,,,,,,,,,,,,,,,,,,,,,,
21,46772,11/09/23,bgl_3m_01,B9,SAMPLE,0.45,CO2,3,0,369.7,123.9,,,,,,,,,,,,,,,1.9,4815,124918,124.918,1.4,5082,131463,1.446,4.4,6830,0.533,177600,1.0523931,0.0118707,-9.528,-9.528,1.4217335,0.0039846,-8.7,-8.7,0.0110696,-9.891,0.0019878,-8.687
21,46772,11/09/23,bgl_3m_01,B9,SAMPLE,0.45,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,5.8,5412,100757,100.757,5.5,5748,107057,1.178,9.8,7759,0.434,144507,1.0625172,0.0119849,0,0,1.4342113,0.0040196,0,0,0.0111802,0,0.0020052,0
